employee_id,first_name,last_name,email,department,sub_department,job_title,job_level,employment_type,hire_date,start_date,manager_id,location_city,location_country,salary_amount,salary_currency,salary_type,gender,nationality,status,termination_date,termination_reason,ats_candidate_id
EMP-0001,Greta,Butkus,greta.butkus@enovatech.com,Engineering,Frontend,Engineering Manager,manager,full_time,2025-06-06,2025-06-20,EMP-0236,Kaunas,Lithuania,69000,EUR,annual,m,Ukraine,active,,,CAND-0001
EMP-0002,Maciej,Wojcik,maciej.wojcik@enovatech.com,Engineering,Security,Engineering Manager,manager,full_time,2025-06-01,2025-06-22,EMP-0001,Kaunas,Lithuania,80000,EUR,annual,f,Germany,active,,,CAND-0002
EMP-0003,Bence,Petrov,bence.petrov@enovatech.com,Engineering,Mobile,Engineering Manager,manager,full_time,2025-06-19,2025-07-09,EMP-0002,Kaunas,Lithuania,72500,EUR,annual,f,Poland,active,,,CAND-0003
EMP-0004,Rytis,Ambrazas,rytis.ambrazas@enovatech.com,Engineering,QA,Engineering Manager,manager,full_time,2025-06-02,2025-06-27,EMP-0003,Kaunas,Lithuania,73000,EUR,annual,f,Lithuania,active,,,CAND-0004
EMP-0005,Adam,Kaminski,adam.kaminski@enovatech.com,Engineering,Security,Engineering Manager,manager,full_time,2025-06-09,2025-07-15,EMP-0002,Kaunas,Lithuania,71500,EUR,annual,f,Lithuania,active,,,CAND-0005
EMP-0006,Egle,Butkus,egle.butkus@enovatech.com,Engineering,QA,Platform Engineer,ic2,full_time,2025-07-02,2025-08-22,EMP-0003,Kaunas,Lithuania,41000,EUR,annual,f,Lithuania,active,,,CAND-0006
EMP-0007,Marcin,Wozniak,marcin.wozniak@enovatech.com,Engineering,QA,DevOps Engineer,ic2,full_time,2025-07-03,2025-08-07,EMP-0004,Kaunas,Lithuania,35000,EUR,annual,f,Poland,active,,,CAND-0007
EMP-0008,Chloe,Taylor,chloe.taylor@enovatech.com,Engineering,Frontend,QA Engineer,ic2,full_time,2025-07-05,2025-08-22,EMP-0004,Kaunas,Lithuania,36000,EUR,annual,f,Lithuania,active,,,CAND-0008
EMP-0009,Stefan,Fischer,stefan.fischer@enovatech.com,Engineering,Backend,DevOps Engineer,ic2,full_time,2025-07-02,2025-08-28,EMP-0005,Kaunas,Lithuania,37500,EUR,annual,f,Lithuania,active,,,CAND-0009
EMP-0010,Magdalena,Wozniak,magdalena.wozniak@enovatech.com,Engineering,Backend,Platform Engineer,ic2,full_time,2025-07-01,2025-07-21,EMP-0003,London,United Kingdom,63500,GBP,annual,prefer_not_to_say,Poland,active,,,CAND-0010
EMP-0011,Magdalena,Kowalczyk,magdalena.kowalczyk@enovatech.com,Engineering,QA,Platform Engineer,ic2,full_time,2025-07-03,2025-08-24,EMP-0005,London,United Kingdom,56000,GBP,annual,m,Poland,active,,,CAND-0011
EMP-0012,Matas,Gudas,matas.gudas@enovatech.com,Engineering,QA,QA Engineer,ic2,full_time,2025-07-02,2025-08-31,EMP-0005,London,United Kingdom,52500,GBP,annual,f,Poland,active,,,CAND-0012
EMP-0013,Petra,Smirnov,petra.smirnov@enovatech.com,Engineering,Mobile,Engineering Manager,manager,full_time,2024-06-05,2024-07-11,EMP-0002,Vilnius,Lithuania,80000,EUR,annual,m,Poland,active,,,CAND-0013
EMP-0014,Damian,Kozlowski,damian.kozlowski@enovatech.com,Engineering,Backend,Engineering Manager,manager,full_time,2024-05-29,2024-06-15,EMP-0013,Vilnius,Lithuania,89000,EUR,annual,f,Germany,active,,,CAND-0014
EMP-0015,Vladislav,Petrov,vladislav.petrov@enovatech.com,Engineering,QA,Engineering Manager,manager,full_time,2024-05-12,2024-06-25,EMP-0002,Vilnius,Lithuania,88000,EUR,annual,f,Poland,active,,,CAND-0015
EMP-0016,Vaida,Levinskas,vaida.levinskas@enovatech.com,Engineering,Backend,Engineering Manager,manager,full_time,2024-05-09,2024-06-18,EMP-0013,Vilnius,Lithuania,69500,EUR,annual,m,Poland,terminated,2024-12-24,end_of_contract,CAND-0016
EMP-0017,Jonas,Radzevicius,jonas.radzevicius@enovatech.com,Engineering,Frontend,Engineering Manager,manager,full_time,2024-05-04,2024-05-22,EMP-0013,Vilnius,Lithuania,89500,EUR,annual,f,Poland,active,,,CAND-0017
EMP-0018,Aleksander,Kovacs,aleksander.kovacs@enovatech.com,Engineering,Backend,Senior Backend Engineer,ic3,full_time,2025-07-01,2025-08-22,EMP-0005,Kaunas,Lithuania,69000,EUR,annual,m,Poland,active,,,CAND-0018
EMP-0019,Anastasia,Fedorov,anastasia.fedorov@enovatech.com,Engineering,DevOps,Senior Frontend Engineer,ic3,full_time,2025-07-02,2025-08-30,EMP-0003,Kaunas,Lithuania,5700,EUR,annual,f,Lithuania,active,,,CAND-0019
EMP-0020,Gabija,Stonkus,gabija.stonkus@enovatech.com,Engineering,QA,Staff Engineer,ic3,full_time,2025-07-04,2025-08-10,EMP-0013,Kaunas,Lithuania,57000,EUR,annual,m,Poland,active,,,CAND-0020
EMP-0021,Piotr,Kowalczyk,piotr.kowalczyk@enovatech.com,Engineering,Frontend,Senior Mobile Engineer,ic3,full_time,2025-07-03,2025-09-01,EMP-0013,Kaunas,Lithuania,55500,EUR,annual,f,Germany,active,,,CAND-0021
EMP-0022,Tomasz,Lewandowski,tomasz.lewandowski@enovatech.com,Engineering,Mobile,Security Engineer,ic3,full_time,2025-07-02,2025-07-27,EMP-0014,Kaunas,Lithuania,52000,EUR,annual,f,United Kingdom,active,,,CAND-0022
EMP-0023,Joanna,Szymanski,joanna.szymanski@enovatech.com,Engineering,Security,Senior Frontend Engineer,ic3,full_time,2025-07-01,2025-07-25,EMP-0017,Kaunas,Lithuania,78000,EUR,annual,m,Germany,active,,,CAND-0023
EMP-0024,Natalia,Kozlowski,natalia.kozlowski@enovatech.com,Engineering,QA,Platform Engineer,ic2,full_time,2024-03-14,2024-05-09,EMP-0015,Remote,Lithuania,37000,EUR,annual,f,United Kingdom,active,,,CAND-0024
EMP-0025,Greta,Gudas,greta.gudas@enovatech.com,Engineering,Mobile,Mobile Engineer,ic2,full_time,2024-02-17,2024-04-09,EMP-0002,Remote,Lithuania,40500,EUR,annual,m,Poland,active,,,CAND-0025
EMP-0026,Karolina,Kowalczyk,karolina.kowalczyk@enovatech.com,Engineering,QA,Backend Engineer,ic2,full_time,2024-03-05,2024-03-28,EMP-0003,Remote,Lithuania,51500,EUR,annual,m,Poland,terminated,2025-04-17,,CAND-0026
EMP-0027,Mateusz,Kowalczyk,mateusz.kowalczyk@enovatech.com,Engineering,DevOps,Mobile Engineer,ic2,full_time,2024-02-24,2024-03-20,EMP-0014,Remote,Lithuania,36000,EUR,annual,m,Lithuania,active,,,CAND-0027
EMP-0028,Vilius,Levinskas,vilius.levinskas@enovatech.com,Engineering,DevOps,Frontend Engineer,ic2,full_time,2024-02-13,2024-03-26,EMP-0003,Remote,Lithuania,38500,EUR,annual,m,Germany,active,,,CAND-0028
EMP-0029,Nikita,Kovacs,nikita.kovacs@enovatech.com,Engineering,Frontend,Platform Engineer,ic2,full_time,2024-03-14,2024-04-10,EMP-0005,Remote,Lithuania,51500,EUR,annual,m,Poland,active,,,CAND-0029
EMP-0030,Mindaugas,Daunoras,mindaugas.daunoras@enovatech.com,Engineering,DevOps,Engineering Manager,manager,full_time,2025-07-01,2025-07-20,EMP-0003,Vilnius,Lithuania,79500,EUR,annual,f,Poland,active,,,CAND-0030
EMP-0031,Jack,Walker,jack.walker@enovatech.com,Engineering,DevOps,Engineering Manager,manager,full_time,2025-07-02,2025-07-30,EMP-0016,Vilnius,Lithuania,86500,EUR,annual,f,Latvia,active,,,CAND-0031
EMP-0032,Bohdan,Kovalenko,bohdan.kovalenko@enovatech.com,Engineering,Mobile,Engineering Manager,manager,full_time,2025-07-03,2025-08-22,EMP-0015,Vilnius,Lithuania,76500,EUR,annual,f,Estonia,active,,,CAND-0032
EMP-0033,Mirela,Fedorov,mirela.fedorov@enovatech.com,Engineering,Backend,Engineering Manager,manager,full_time,2025-07-04,2025-08-22,EMP-0031,Vilnius,Lithuania,72500,EUR,annual,m,Lithuania,active,,,CAND-0033
EMP-0034,Natalia,Oliynyk,natalia.oliynyk@enovatech.com,Engineering,Frontend,DevOps Engineer,ic2,full_time,2025-07-03,2025-08-30,EMP-0003,Vilnius,Lithuania,36500,EUR,annual,m,Poland,active,,,CAND-0034
EMP-0035,Adam,Nowak,adam.nowak@enovatech.com,Engineering,Backend,QA Engineer,ic2,full_time,2025-07-03,2025-08-08,EMP-0014,Vilnius,Lithuania,45500,EUR,annual,m,Latvia,active,,,CAND-0035
EMP-0036,Iryna,Tkachenko,iryna.tkachenko@enovatech.com,Engineering,Backend,Frontend Engineer,ic2,full_time,2025-07-05,2025-08-10,EMP-0002,Vilnius,Lithuania,43500,EUR,annual,f,Poland,active,,,CAND-0036
EMP-0037,Rafal,Nowak,rafal.nowak@enovatech.com,Engineering,Frontend,Senior Backend Engineer,ic3,full_time,2025-06-16,2025-08-09,EMP-0014,Remote,Lithuania,61000,EUR,annual,m,Germany,active,,,CAND-0037
EMP-0038,Mykhailo,Oliynyk,mykhailo.oliynyk@enovatech.com,Engineering,Security,Senior Frontend Engineer,ic3,full_time,2025-06-11,2025-08-08,EMP-0013,Remote,Lithuania,57500,EUR,annual,m,Poland,active,,,CAND-0038
EMP-0039,Emma,Clark,emma.clark@enovatech.com,Engineering,Security,Senior DevOps Engineer,ic3,full_time,2025-06-14,2025-07-03,EMP-0032,Remote,Lithuania,61500,EUR,annual,f,Lithuania,active,,,CAND-0039
EMP-0040,Svitlana,Kravchenko,svitlana.kravchenko@enovatech.com,Engineering,Backend,Senior Backend Engineer,ic3,full_time,2025-06-10,2025-07-27,EMP-0030,Remote,Lithuania,75000,EUR,annual,m,Poland,active,,,CAND-0040
EMP-0041,Hannah,Richter,hannah.richter@enovatech.com,Engineering,Frontend,Frontend Engineer,ic2,full_time,2025-07-01,2025-07-31,EMP-0004,Kaunas,Lithuania,52000,EUR,annual,f,Germany,active,,,CAND-0041
EMP-0042,Inga,Stonkus,inga.stonkus@enovatech.com,Engineering,Backend,Platform Engineer,ic2,full_time,2025-07-04,2025-08-21,EMP-0017,Kaunas,Lithuania,3700,EUR,annual,m,Poland,active,,,CAND-0042
EMP-0043,Mariya,Shevchuk,mariya.shevchuk@enovatech.com,Engineering,QA,Platform Engineer,ic2,full_time,2025-06-25,2025-07-28,EMP-0005,Kaunas,Lithuania,41500,EUR,annual,m,Estonia,active,,,CAND-0043
EMP-0044,Jonas,Koch,jonas.koch@enovatech.com,Engineering,Security,Senior Frontend Engineer,ic3,full_time,2025-01-17,2025-03-06,EMP-0031,Vilnius,Lithuania,59500,EUR,annual,m,Lithuania,active,,,CAND-0044
EMP-0045,Krzysztof,Wozniak,krzysztof.wozniak@enovatech.com,Engineering,Backend,Senior DevOps Engineer,ic3,full_time,2025-01-19,2025-02-28,EMP-0004,Vilnius,Lithuania,58000,EUR,annual,f,Latvia,active,,,CAND-0045
EMP-0046,Tiberiu,Kovacs,tiberiu.kovacs@enovatech.com,Engineering,Backend,Senior Backend Engineer,ic3,full_time,2025-02-11,2025-04-02,EMP-0004,Vilnius,Lithuania,75500,EUR,annual,f,Lithuania,active,,,CAND-0046
EMP-0047,Ivan,Oliynyk,ivan.oliynyk@enovatech.com,Engineering,Security,Security Engineer,ic3,full_time,2025-01-23,2025-02-27,EMP-0031,Vilnius,Lithuania,54500,EUR,annual,f,Lithuania,active,,,CAND-0047
EMP-0048,Egle,Mockus,egle.mockus@enovatech.com,Engineering,Mobile,Senior Backend Engineer,ic3,full_time,2025-01-07,2025-03-07,EMP-0013,Vilnius,Lithuania,62000,EUR,annual,m,United Kingdom,active,,,CAND-0048
EMP-0049,Yaroslav,Bondarenko,yaroslav.bondarenko@enovatech.com,Engineering,Mobile,Head of Engineering,director,full_time,2025-07-02,2025-07-31,EMP-0004,Remote,Lithuania,120000,EUR,annual,m,Ukraine,active,,,CAND-0049
EMP-0050,Mirela,Smirnov,mirela.smirnov@enovatech.com,Engineering,DevOps,Director of Engineering,director,full_time,2025-07-04,2025-08-25,EMP-0005,Remote,Lithuania,123000,EUR,annual,m,Ukraine,active,,,CAND-0050
EMP-0051,Oksana,Tkachenko,oksana.tkachenko@enovatech.com,Engineering,Security,Head of Engineering,director,full_time,2025-07-02,2025-08-29,EMP-0003,Remote,Lithuania,114500,EUR,annual,f,Poland,active,,,CAND-0051
EMP-0052,Zsuzsanna,Ionescu,zsuzsanna.ionescu@enovatech.com,Engineering,DevOps,Director of Engineering,director,full_time,2025-07-01,2025-08-30,EMP-0032,Remote,Lithuania,141000,EUR,annual,f,Poland,active,,,CAND-0052
EMP-0053,Tomas,Noreika,tomas.noreika@enovatech.com,Engineering,Security,Mobile Engineer,ic2,full_time,2025-04-10,2025-05-21,EMP-0002,Vilnius,Lithuania,3800,EUR,annual,m,Poland,active,,,CAND-0053
EMP-0054,Rokas,Paulauskas,rokas.paulauskas@enovatech.com,Engineering,Frontend,Mobile Engineer,ic2,full_time,2025-04-25,2025-05-31,EMP-0005,Vilnius,Lithuania,46500,EUR,annual,m,Poland,active,,,CAND-0054
EMP-0055,Kinga,Fedorov,kinga.fedorov@enovatech.com,Engineering,DevOps,Mobile Engineer,ic2,full_time,2025-04-20,2025-06-19,EMP-0052,Vilnius,Lithuania,36000,EUR,annual,m,Poland,active,,,CAND-0055
