candidate_id,first_name,last_name,email,phone,location_city,location_country,current_company,current_title,linkedin_url,created_date
CAND-0001,Greta,Butkus,greta.butkus@outlook.com,+1-210-343-3218x1960,Kyiv,Ukraine,CGI,HR Manager,linkedin.com/in/greta-butkus-906,2024-04-20
CAND-0002,Maciej,Wojcik,maciej.wojcik@gmail.com,,Berlin,Germany,EPAM Systems,Performance Marketing Manager,linkedin.com/in/maciej-wojcik-385,2024-03-12
CAND-0003,Bence,Petrov,bence.petrov@protonmail.com,,Krakow,Poland,Playtika,Senior Product Lead,linkedin.com/in/bence-petrov-371,2024-02-09
CAND-0004,Rytis,Ambrazas,rytis.ambrazas@yahoo.com,,Vilnius,Lithuania,Ubisoft,SEO Specialist,linkedin.com/in/rytis-ambrazas-925,2024-07-20
CAND-0005,Adam,Kaminski,adam.kaminski@gmail.com,538.990.8386,Vilnius,Lithuania,EPAM Systems,Senior FP&A Analyst,linkedin.com/in/adam-kaminski-402,2024-05-10
CAND-0006,Egle,Butkus,egle.butkus@yahoo.com,001-740-326-5423,Kaunas,Lithuania,Wargaming,FP&A Analyst,,2024-11-25
CAND-0007,Marcin,Wozniak,marcin.wozniak@outlook.com,,Gdansk,Poland,Revolut,UX Researcher,linkedin.com/in/marcin-wozniak-443,2024-04-05
CAND-0008,Chloe,Taylor,chloe.taylor@gmail.com,,Vilnius,Lithuania,King,Head of Growth,linkedin.com/in/chloe-taylor-744,2024-07-18
CAND-0009,Stefan,Fischer,stefan.fischer@gmail.com,361-855-9407,Vilnius,Lithuania,Nord Security,Compensation and Benefits Analyst,linkedin.com/in/stefan-fischer-355,2024-05-04
CAND-0010,Magdalena,Wozniak,magdalena.wozniak@yahoo.com,584-695-9310,Gdansk,Poland,Bite,TA Manager,,2025-05-01
CAND-0011,Magdalena,Kowalczyk,magdalena.kowalczyk@yahoo.com,731-564-7525,Warsaw,Poland,Bite,Product Lead,linkedin.com/in/magdalena-kowalczyk-427,2024-03-23
CAND-0012,Matas,Gudas,matas.gudas@gmail.com,+1-241-592-8327x64835,Warsaw,Poland,LMT,Compensation and Benefits Analyst,linkedin.com/in/matas-gudas-888,2024-01-21
